timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
930,3i,1,14.612,46.36,46.36
930,4i,1,0.0,1.0,1.0
935,1i,5,0.0024,5.0,148.9
935,2i,10,0.9612,1.0,171.51
935,3i,1,2.1528,13.76,13.76
935,4i,0,,,
940,1i,6,3.9544,5.0,409.26
940,2i,10,0.2582,1.0,145.63
940,3i,1,0.0,1.0,1.0
940,4i,0,,,
945,1i,6,3.94,5.0,290.48
945,2i,10,0.0004,1.0,143.82
945,3i,1,0.0,1.0,1.0
945,4i,0,,,
950,1i,4,5.856,26.04,171.23
950,2i,9,0.0,5.0,143.82
950,3i,1,0.0,1.0,1.0
950,4i,0,,,
955,1i,4,4.567,26.04,148.89
955,2i,9,0.0,5.0,143.82
955,3i,1,0.0,1.0,1.0
